"Indicator.Code","Indicator.Name"
"LO.SACMEQ.REA.L5.FE","SACMEQ: Female 6th grade students by reading proficiency level (%). Level 5 - Interpretive Reading"
"LO.SACMEQ.REA.L6.FE","SACMEQ: Female 6th grade students by reading proficiency level (%). Level 6 - Inferential Reading"
"LO.SACMEQ.REA.L7.FE","SACMEQ: Female 6th grade students by reading proficiency level (%). Level 7 - Analytical Reading"
"LO.SACMEQ.REA.L8.FE","SACMEQ: Female 6th grade students by reading proficiency level (%). Level 8 - Critical Reading"
"LO.SACMEQ.MAT.L1.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 1 - Pre-Numeracy"
"LO.SACMEQ.MAT.L2.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 2 - Emergent Numeracy"
"LO.SACMEQ.MAT.L3.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 3 - Basic Numeracy"
"LO.SACMEQ.MAT.L4.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 4 - Beginning Numeracy"
"LO.SACMEQ.MAT.L5.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 5 - Competent Numeracy"
"LO.SACMEQ.MAT.L6.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 6 - Mathematically Skilled"
"LO.SACMEQ.MAT.L7.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 7 - Concrete Problem Solving"
"LO.SACMEQ.MAT.L8.MA","SACMEQ: Male 6th grade students by mathematics proficiency level (%). Level 8 - Abstract Problem Solving"
"LO.SACMEQ.REA.L1.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 1 - Pre-Reading"
"LO.SACMEQ.REA.L2.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 2 - Emergent Reading"
"LO.SACMEQ.REA.L3.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 3 - Basic Reading"
"LO.SACMEQ.REA.L4.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 4 - Reading for Meaning"
"LO.SACMEQ.REA.L5.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 5 - Interpretive Reading"
"LO.SACMEQ.REA.L6.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 6 - Inferential Reading"
"LO.SACMEQ.REA.L7.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 7 - Analytical Reading"
"LO.SACMEQ.REA.L8.MA","SACMEQ: Male 6th grade students by reading proficiency level (%). Level 8 - Critical Reading"
"LO.SACMEQ.MAT","SACMEQ: Mean performance on the mathematics scale"
"LO.SACMEQ.MAT.FE","SACMEQ: Mean performance on the mathematics scale, female"
"LO.SACMEQ.MAT.MA","SACMEQ: Mean performance on the mathematics scale, male"
"LO.SACMEQ.REA.FE","SACMEQ: Mean performance on the reading scale, female"
"LO.SACMEQ.REA.MA","SACMEQ: Mean performance on the reading scale, male"
"LO.SACMEQ.REA","SACMEQ: Mean performance on the reading scale, total"
"UIS.SLE.4","School life expectancy, post-secondary non-tertiary, both sexes (years)"
"UIS.SLE.4.F","School life expectancy, post-secondary non-tertiary, female (years)"
"UIS.SLE.4.GPI","School life expectancy, post-secondary non-tertiary, gender parity index (GPI)"
"UIS.SLE.4.M","School life expectancy, post-secondary non-tertiary, male (years)"
"UIS.SLE.0","School life expectancy, pre-primary, both sexes (years)"
"UIS.SLE.0.F","School life expectancy, pre-primary, female (years)"
"UIS.SLE.0.GPI","School life expectancy, pre-primary, gender parity index (GPI)"
"UIS.SLE.0.M","School life expectancy, pre-primary, male (years)"
"UIS.SLEN.12.T","School life expectancy, primary and lower secondary (excluding repetition), both sexes (years)"
"UIS.SLEN.12.F","School life expectancy, primary and lower secondary (excluding repetition), female (years)"
"UIS.SLEN.12.GPI","School life expectancy, primary and lower secondary (excluding repetition), gender parity index (GPI)"
"UIS.SLEN.12.M","School life expectancy, primary and lower secondary (excluding repetition), male (years)"
"UIS.SLE.12","School life expectancy, primary and lower secondary, both sexes (years)"
"UIS.SLE.12.F","School life expectancy, primary and lower secondary, female (years)"
"UIS.SLE.12.M","School life expectancy, primary and lower secondary, male (years)"
"UIS.SLE.123","School life expectancy, primary and secondary, both sexes (years)"
"UIS.SLE.123.F","School life expectancy, primary and secondary, female (years)"
"UIS.SLE.123.GPI","School life expectancy, primary and secondary, gender parity index (GPI)"
"UIS.SLE.123.M","School life expectancy, primary and secondary, male (years)"
"SE.SCH.LIFE","School life expectancy, primary to tertiary, both sexes (years)"
"SE.SCH.LIFE.FE","School life expectancy, primary to tertiary, female (years)"
"UIS.SLE.1T6.GPI","School life expectancy, primary to tertiary, gender parity index (GPI)"
"SE.SCH.LIFE.MA","School life expectancy, primary to tertiary, male (years)"
"UIS.SLE.1","School life expectancy, primary, both sexes (years)"
"UIS.SLE.1.F","School life expectancy, primary, female (years)"
"UIS.SLE.1.GPI","School life expectancy, primary, gender parity index (GPI)"
"UIS.SLE.1.M","School life expectancy, primary, male (years)"
"UIS.SLE.23","School life expectancy, secondary, both sexes (years)"
"UIS.SLE.23.F","School life expectancy, secondary, female (years)"
"UIS.SLE.23.GPI","School life expectancy, secondary, gender parity index (GPI)"
"UIS.SLE.23.M","School life expectancy, secondary, male (years)"
"UIS.SLE.56","School life expectancy, tertiary, both sexes (years)"
"UIS.SLE.56.F","School life expectancy, tertiary, female (years)"
"UIS.SLE.56.GPI","School life expectancy, tertiary, gender parity index (GPI)"
"UIS.SLE.56.M","School life expectancy, tertiary, male (years)"
"SL.UEM.NEET.FE.ZS","Share of youth not in education, employment, or training, female (% of female youth population)"
"SL.UEM.NEET.MA.ZS","Share of youth not in education, employment, or training, male (% of male youth population)"
"SL.UEM.NEET.ZS","Share of youth not in education, employment, or training, total (% of youth population)"
"UIS.SR.1.G4","Survival rate to Grade 4 of primary education, both sexes (%)"
"UIS.SR.1.G4.F","Survival rate to Grade 4 of primary education, female (%)"
"UIS.SR.1.G4.GPI","Survival rate to Grade 4 of primary education, gender parity index (GPI)"
"UIS.SR.1.G4.M","Survival rate to Grade 4 of primary education, male (%)"
"SE.PRM.PRS5.ZS","Survival rate to Grade 5 of primary education, both sexes (%)"
"SE.PRM.PRS5.FE.ZS","Survival rate to Grade 5 of primary education, female (%)"
"UIS.SR.1.G5.GPI","Survival rate to Grade 5 of primary education, gender parity index (GPI)"
"SE.PRM.PRS5.MA.ZS","Survival rate to Grade 5 of primary education, male (%)"
"UIS.SR.2.GPV.GLAST.CP.T","Survival rate to the last grade of lower secondary general education, both sexes (%)"
"UIS.SR.2.GPV.GLAST.CP.F","Survival rate to the last grade of lower secondary general education, female (%)"
"UIS.SR.2.GPV.GLAST.GPI","Survival rate to the last grade of lower secondary general education, gender parity index (GPI)"
"UIS.SR.2.GPV.GLAST.CP.M","Survival rate to the last grade of lower secondary general education, male (%)"
"SE.PRM.PRSL.ZS","Survival rate to the last grade of primary education, both sexes (%)"
"SE.PRM.PRSL.FE.ZS","Survival rate to the last grade of primary education, female (%)"
"UIS.SR.1.GLAST.GPI","Survival rate to the last grade of primary education, gender parity index (GPI)"
"SE.PRM.PRSL.MA.ZS","Survival rate to the last grade of primary education, male (%)"
"UIS.T.2","Teachers in lower secondary education, both sexes (number)"
"UIS.T.2.F","Teachers in lower secondary education, female (number)"
"UIS.T.4","Teachers in post-secondary non-tertiary education, both sexes (number)"
"UIS.T.4.F","Teachers in post-secondary non-tertiary education, female (number)"
"SE.PRE.TCHR","Teachers in pre-primary education, both sexes (number)"
"SE.PRE.TCHR.FE","Teachers in pre-primary education, female (number)"
"SE.PRM.TCHR","Teachers in primary education, both sexes (number)"
"SE.PRM.TCHR.FE","Teachers in primary education, female (number)"
"SE.SEC.TCHR","Teachers in secondary education, both sexes (number)"
"SE.SEC.TCHR.FE","Teachers in secondary education, female (number)"
"UIS.T.23.GPV","Teachers in secondary general education, both sexes (number)"
"UIS.T.23.GPV.F","Teachers in secondary general education, female (number)"
"UIS.T.23.V","Teachers in secondary vocational education, both sexes (number)"
"UIS.T.23.V.F","Teachers in secondary vocational education, female (number)"
"UIS.T.5.B","Teachers in tertiary education ISCED 5 programmes, both sexes (number)"
"UIS.T.5.B.F","Teachers in tertiary education ISCED 5 programmes, female (number)"
"SE.TER.TCHR","Teachers in tertiary education programmes, both sexes (number)"
"SE.TER.TCHR.FE","Teachers in tertiary education programmes, female (number)"
"UIS.T.3","Teachers in upper secondary education, both sexes (number)"
"UIS.T.3.F","Teachers in upper secondary education, female (number)"
"SE.SEC.DURS.LO","Theoretical duration of lower secondary education (years)"
"UIS.THDUR.4.A.GPV","Theoretical duration of post-secondary non-tertiary education (years)"
"UIS.THDUR.0","Theoretical duration of pre-primary education (years)"
"SE.PRM.DURS","Theoretical duration of primary education (years)"
"SE.SEC.DURS","Theoretical duration of secondary education (years)"
"SE.SEC.DURS.UP","Theoretical duration of upper secondary education (years)"
"LO.TIMSS.MAT4.P10","TIMSS: Distribution of 4th Grade Mathematics Scores: 10th Percentile Score"
"LO.TIMSS.MAT4.P25","TIMSS: Distribution of 4th Grade Mathematics Scores: 25th Percentile Score"
"LO.TIMSS.MAT4.P50","TIMSS: Distribution of 4th Grade Mathematics Scores: 50th Percentile Score"
"LO.TIMSS.MAT4.P05","TIMSS: Distribution of 4th Grade Mathematics Scores: 5th Percentile Score"
"LO.TIMSS.MAT4.P75","TIMSS: Distribution of 4th Grade Mathematics Scores: 75th Percentile Score"
"LO.TIMSS.MAT4.P90","TIMSS: Distribution of 4th Grade Mathematics Scores: 90th Percentile Score"
"LO.TIMSS.MAT4.P95","TIMSS: Distribution of 4th Grade Mathematics Scores: 95th Percentile Score"
"LO.TIMSS.SCI4.P10","TIMSS: Distribution of 4th Grade Science Scores: 10th Percentile Score"
"LO.TIMSS.SCI4.P25","TIMSS: Distribution of 4th Grade Science Scores: 25th Percentile Score"
"LO.TIMSS.SCI4.P50","TIMSS: Distribution of 4th Grade Science Scores: 50th Percentile Score"
"LO.TIMSS.SCI4.P05","TIMSS: Distribution of 4th Grade Science Scores: 5th Percentile Score"
"LO.TIMSS.SCI4.P75","TIMSS: Distribution of 4th Grade Science Scores: 75th Percentile Score"
"LO.TIMSS.SCI4.P90","TIMSS: Distribution of 4th Grade Science Scores: 90th Percentile Score"
"LO.TIMSS.SCI4.P95","TIMSS: Distribution of 4th Grade Science Scores: 95th Percentile Score"
"LO.TIMSS.MAT8.P10","TIMSS: Distribution of 8th Grade Mathematics Scores: 10th Percentile Score"
"LO.TIMSS.MAT8.P25","TIMSS: Distribution of 8th Grade Mathematics Scores: 25th Percentile Score"
"LO.TIMSS.MAT8.P50","TIMSS: Distribution of 8th Grade Mathematics Scores: 50th Percentile Score"
"LO.TIMSS.MAT8.P05","TIMSS: Distribution of 8th Grade Mathematics Scores: 5th Percentile Score"
"LO.TIMSS.MAT8.P75","TIMSS: Distribution of 8th Grade Mathematics Scores: 75th Percentile Score"
"LO.TIMSS.MAT8.P90","TIMSS: Distribution of 8th Grade Mathematics Scores: 90th Percentile Score"
"LO.TIMSS.MAT8.P95","TIMSS: Distribution of 8th Grade Mathematics Scores: 95th Percentile Score"
"LO.TIMSS.SCI8.P10","TIMSS: Distribution of 8th Grade Science Scores: 10th Percentile Score"
"LO.TIMSS.SCI8.P25","TIMSS: Distribution of 8th Grade Science Scores: 25th Percentile Score"
"LO.TIMSS.SCI8.P50","TIMSS: Distribution of 8th Grade Science Scores: 50th Percentile Score"
"LO.TIMSS.SCI8.P05","TIMSS: Distribution of 8th Grade Science Scores: 5th Percentile Score"
"LO.TIMSS.SCI8.P75","TIMSS: Distribution of 8th Grade Science Scores: 75th Percentile Score"
"LO.TIMSS.SCI8.P90","TIMSS: Distribution of 8th Grade Science Scores: 90th Percentile Score"
"LO.TIMSS.SCI8.P95","TIMSS: Distribution of 8th Grade Science Scores: 95th Percentile Score"
"LO.TIMSS.MAT8.ADV","TIMSS: Eighth grade students reaching the advanced international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.ADV","TIMSS: Eighth grade students reaching the advanced international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.HI","TIMSS: Eighth grade students reaching the high international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.HI","TIMSS: Eighth grade students reaching the high international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.INT","TIMSS: Eighth grade students reaching the intermediate international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.INT","TIMSS: Eighth grade students reaching the intermediate international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.LOW","TIMSS: Eighth grade students reaching the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.LOW","TIMSS: Eighth grade students reaching the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.BL","TIMSS: Eighth grade students who did not reach the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.BL","TIMSS: Eighth grade students who did not reach the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.ADV.FE","TIMSS: Female 4th grade students reaching the advanced international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.ADV.FE","TIMSS: Female 4th grade students reaching the advanced international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.HI.FE","TIMSS: Female 4th grade students reaching the high international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.HI.FE","TIMSS: Female 4th grade students reaching the high international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.INT.FE","TIMSS: Female 4th grade students reaching the intermediate international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.INT.FE","TIMSS: Female 4th grade students reaching the intermediate international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.LOW.FE","TIMSS: Female 4th grade students reaching the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.LOW.FE","TIMSS: Female 4th grade students reaching the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.BL.FE","TIMSS: Female 4th grade students who did not reach the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.BL.FE","TIMSS: Female 4th grade students who did not reach the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.ADV.FE","TIMSS: Female 8th grade students reaching the advanced international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.ADV.FE","TIMSS: Female 8th grade students reaching the advanced international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.HI.FE","TIMSS: Female 8th grade students reaching the high international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.HI.FE","TIMSS: Female 8th grade students reaching the high international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.INT.FE","TIMSS: Female 8th grade students reaching the intermediate international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.INT.FE","TIMSS: Female 8th grade students reaching the intermediate international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.LOW.FE","TIMSS: Female 8th grade students reaching the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.LOW.FE","TIMSS: Female 8th grade students reaching the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.BL.FE","TIMSS: Female 8th grade students who did not reach the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.BL.FE","TIMSS: Female 8th grade students who did not reach the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.ADV","TIMSS: Fourth grade students reaching the advanced international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.ADV","TIMSS: Fourth grade students reaching the advanced international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.HI","TIMSS: Fourth grade students reaching the high international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.HI","TIMSS: Fourth grade students reaching the high international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.INT","TIMSS: Fourth grade students reaching the intermediate international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.INT","TIMSS: Fourth grade students reaching the intermediate international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.LOW","TIMSS: Fourth grade students reaching the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.LOW","TIMSS: Fourth grade students reaching the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.BL","TIMSS: Fourth grade students who did not reach the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.BL","TIMSS: Fourth grade students who did not reach the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.ADV.MA","TIMSS: Male 4th grade students reaching the advanced international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.ADV.MA","TIMSS: Male 4th grade students reaching the advanced international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.HI.MA","TIMSS: Male 4th grade students reaching the high international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.HI.MA","TIMSS: Male 4th grade students reaching the high international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.INT.MA","TIMSS: Male 4th grade students reaching the intermediate international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.INT.MA","TIMSS: Male 4th grade students reaching the intermediate international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.LOW.MA","TIMSS: Male 4th grade students reaching the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.LOW.MA","TIMSS: Male 4th grade students reaching the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT4.BL.MA","TIMSS: Male 4th grade students who did not reach the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI4.BL.MA","TIMSS: Male 4th grade students who did not reach the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.ADV.MA","TIMSS: Male 8th grade students reaching the advanced international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.ADV.MA","TIMSS: Male 8th grade students reaching the advanced international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.HI.MA","TIMSS: Male 8th grade students reaching the high international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.HI.MA","TIMSS: Male 8th grade students reaching the high international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.INT.MA","TIMSS: Male 8th grade students reaching the intermediate international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.INT.MA","TIMSS: Male 8th grade students reaching the intermediate international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.LOW.MA","TIMSS: Male 8th grade students reaching the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.LOW.MA","TIMSS: Male 8th grade students reaching the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.BL.MA","TIMSS: Male 8th grade students who did not reach the low international benchmark of mathematics achievement (%)"
"LO.TIMSS.SCI8.BL.MA","TIMSS: Male 8th grade students who did not reach the low international benchmark of science achievement (%)"
"LO.TIMSS.MAT8.FE","TIMSS: Mean performance on the mathematics scale for eighth grade students, female"
"LO.TIMSS.MAT8.MA","TIMSS: Mean performance on the mathematics scale for eighth grade students, male"
"LO.TIMSS.MAT8","TIMSS: Mean performance on the mathematics scale for eighth grade students, total"
"LO.TIMSS.MAT4.FE","TIMSS: Mean performance on the mathematics scale for fourth grade students, female"
"LO.TIMSS.MAT4.MA","TIMSS: Mean performance on the mathematics scale for fourth grade students, male"
"LO.TIMSS.MAT4","TIMSS: Mean performance on the mathematics scale for fourth grade students, total"
"LO.TIMSS.SCI8.FE","TIMSS: Mean performance on the science scale for eighth grade students, female"
"LO.TIMSS.SCI8.MA","TIMSS: Mean performance on the science scale for eighth grade students, male"
"LO.TIMSS.SCI8","TIMSS: Mean performance on the science scale for eighth grade students, total"
"LO.TIMSS.SCI4.FE","TIMSS: Mean performance on the science scale for fourth grade students, female"
"LO.TIMSS.SCI4.MA","TIMSS: Mean performance on the science scale for fourth grade students, male"
"LO.TIMSS.SCI4","TIMSS: Mean performance on the science scale for fourth grade students, total"
"UIS.MS.56.T","Total inbound internationally mobile students, both sexes (number)"
"UIS.MS.56.F","Total inbound internationally mobile students, female (number)"
"UIS.NERT.2","Total net enrolment rate, lower secondary, both sexes (%)"
"UIS.NERT.2.F","Total net enrolment rate, lower secondary, female (%)"
"UIS.NERT.2.GPI","Total net enrolment rate, lower secondary, gender parity index (GPI)"
"UIS.NERT.2.M","Total net enrolment rate, lower secondary, male (%)"
"UIS.NERT.1","Total net enrolment rate, primary, both sexes (%)"
"UIS.NERT.1.F","Total net enrolment rate, primary, female (%)"
"UIS.NERT.1.GPI","Total net enrolment rate, primary, gender parity index (GPI)"
"UIS.NERT.1.M","Total net enrolment rate, primary, male (%)"
"UIS.OE.56.40510","Total outbound internationally mobile tertiary students studying abroad, all countries, both sexes (number)"
"UIS.NARA.1","UIS: Adjusted net attendance rate, primary, both sexes (%)"
"UIS.NARA.1.F","UIS: Adjusted net attendance rate, primary, female (%)"
"UIS.NARA.1.Q4","UIS: Adjusted net attendance rate, primary, fourth quintile, both sexes (%)"
"UIS.NARA.1.Q4.F","UIS: Adjusted net attendance rate, primary, fourth quintile, female (%)"
"UIS.NARA.1.Q4.GPI","UIS: Adjusted net attendance rate, primary, fourth quintile, gender parity index (GPI)"
"UIS.NARA.1.Q4.M","UIS: Adjusted net attendance rate, primary, fourth quintile, male (%)"
"UIS.NARA.1.GPI","UIS: Adjusted net attendance rate, primary, gender parity index (GPI)"
"UIS.NARA.1.M","UIS: Adjusted net attendance rate, primary, male (%)"
"UIS.NARA.1.Q3","UIS: Adjusted net attendance rate, primary, middle quintile, both sexes (%)"
"UIS.NARA.1.Q3.F","UIS: Adjusted net attendance rate, primary, middle quintile, female (%)"
"UIS.NARA.1.Q3.GPI","UIS: Adjusted net attendance rate, primary, middle quintile, gender parity index (GPI)"
"UIS.NARA.1.Q3.M","UIS: Adjusted net attendance rate, primary, middle quintile, male (%)"
"UIS.NARA.1.Q1","UIS: Adjusted net attendance rate, primary, poorest quintile, both sexes (%)"
"UIS.NARA.1.Q1.F","UIS: Adjusted net attendance rate, primary, poorest quintile, female (%)"
"UIS.NARA.1.Q1.GPI","UIS: Adjusted net attendance rate, primary, poorest quintile, gender parity index (GPI)"
"UIS.NARA.1.Q1.M","UIS: Adjusted net attendance rate, primary, poorest quintile, male (%)"
"UIS.NARA.1.Q5","UIS: Adjusted net attendance rate, primary, richest quintile, both sexes (%)"
"UIS.NARA.1.Q5.F","UIS: Adjusted net attendance rate, primary, richest quintile, female (%)"
"UIS.NARA.1.Q5.GPI","UIS: Adjusted net attendance rate, primary, richest quintile, gender parity index (GPI)"
"UIS.NARA.1.Q5.M","UIS: Adjusted net attendance rate, primary, richest quintile, male (%)"
"UIS.NARA.1.RUR","UIS: Adjusted net attendance rate, primary, rural, both sexes (%)"
"UIS.NARA.1.RUR.F","UIS: Adjusted net attendance rate, primary, rural, female (%)"
"UIS.NARA.1.RUR.GPI","UIS: Adjusted net attendance rate, primary, rural, gender parity index (GPI)"
"UIS.NARA.1.RUR.M","UIS: Adjusted net attendance rate, primary, rural, male (%)"
"UIS.NARA.1.Q2","UIS: Adjusted net attendance rate, primary, second quintile, both sexes (%)"
"UIS.NARA.1.Q2.F","UIS: Adjusted net attendance rate, primary, second quintile, female (%)"
"UIS.NARA.1.Q2.GPI","UIS: Adjusted net attendance rate, primary, second quintile, gender parity index (GPI)"
"UIS.NARA.1.Q2.M","UIS: Adjusted net attendance rate, primary, second quintile, male (%)"
"UIS.NARA.1.URB","UIS: Adjusted net attendance rate, primary, urban, both sexes (%)"
"UIS.NARA.1.URB.F","UIS: Adjusted net attendance rate, primary, urban, female (%)"
"UIS.NARA.1.URB.GPI","UIS: Adjusted net attendance rate, primary, urban, gender parity index (GPI)"
"UIS.NARA.1.URB.M","UIS: Adjusted net attendance rate, primary, urban, male (%)"
"UIS.EA.MEAN.1T6.AG25T99.F","UIS: Mean years of schooling of the population age 25+. Female"
"UIS.EA.MEAN.1T6.AG25T99.M","UIS: Mean years of schooling of the population age 25+. Male"
"UIS.EA.MEAN.1T6.AG25T99","UIS: Mean years of schooling of the population age 25+. Total"
"UIS.NAR.2","UIS: Net attendance rate, lower secondary, both sexes (%)"
"UIS.NAR.2.F","UIS: Net attendance rate, lower secondary, female (%)"
"UIS.NAR.2.Q4","UIS: Net attendance rate, lower secondary, fourth quintile, both sexes (%)"
"UIS.NAR.2.Q4.F","UIS: Net attendance rate, lower secondary, fourth quintile, female (%)"
"UIS.NAR.2.Q4.GPI","UIS: Net attendance rate, lower secondary, fourth quintile, gender parity index (GPI)"
"UIS.NAR.2.Q4.M","UIS: Net attendance rate, lower secondary, fourth quintile, male (%)"
"UIS.NAR.2.GPI","UIS: Net attendance rate, lower secondary, gender parity index (GPI)"
"UIS.NAR.2.M","UIS: Net attendance rate, lower secondary, male (%)"
"UIS.NAR.2.Q3","UIS: Net attendance rate, lower secondary, middle quintile, both sexes (%)"
"UIS.NAR.2.Q3.F","UIS: Net attendance rate, lower secondary, middle quintile, female (%)"
"UIS.NAR.2.Q3.GPI","UIS: Net attendance rate, lower secondary, middle quintile, gender parity index (GPI)"
"UIS.NAR.2.Q3.M","UIS: Net attendance rate, lower secondary, middle quintile, male (%)"
"UIS.NAR.2.Q1","UIS: Net attendance rate, lower secondary, poorest quintile, both sexes (%)"
"UIS.NAR.2.Q1.F","UIS: Net attendance rate, lower secondary, poorest quintile, female (%)"
"UIS.NAR.2.Q1.GPI","UIS: Net attendance rate, lower secondary, poorest quintile, gender parity index (GPI)"
"UIS.NAR.2.Q1.M","UIS: Net attendance rate, lower secondary, poorest quintile, male (%)"
"UIS.NAR.2.Q5","UIS: Net attendance rate, lower secondary, richest quintile, both sexes (%)"
"UIS.NAR.2.Q5.F","UIS: Net attendance rate, lower secondary, richest quintile, female (%)"
"UIS.NAR.2.Q5.GPI","UIS: Net attendance rate, lower secondary, richest quintile, gender parity index (GPI)"
"UIS.NAR.2.Q5.M","UIS: Net attendance rate, lower secondary, richest quintile, male (%)"
"UIS.NAR.2.RUR","UIS: Net attendance rate, lower secondary, rural, both sexes (%)"
"UIS.NAR.2.RUR.F","UIS: Net attendance rate, lower secondary, rural, female (%)"
"UIS.NAR.2.RUR.GPI","UIS: Net attendance rate, lower secondary, rural, gender parity index (GPI)"
"UIS.NAR.2.RUR.M","UIS: Net attendance rate, lower secondary, rural, male (%)"
"UIS.NAR.2.Q2","UIS: Net attendance rate, lower secondary, second quintile, both sexes (%)"
"UIS.NAR.2.Q2.F","UIS: Net attendance rate, lower secondary, second quintile, female (%)"
"UIS.NAR.2.Q2.GPI","UIS: Net attendance rate, lower secondary, second quintile, gender parity index (GPI)"
"UIS.NAR.2.Q2.M","UIS: Net attendance rate, lower secondary, second quintile, male (%)"
"UIS.NAR.2.URB","UIS: Net attendance rate, lower secondary, urban, both sexes (%)"
"UIS.NAR.2.URB.F","UIS: Net attendance rate, lower secondary, urban, female (%)"
"UIS.NAR.2.URB.GPI","UIS: Net attendance rate, lower secondary, urban, gender parity index (GPI)"
"UIS.NAR.2.URB.M","UIS: Net attendance rate, lower secondary, urban, male (%)"
"UIS.NAR.1","UIS: Net attendance rate, primary, both sexes (%)"
"UIS.NAR.1.F","UIS: Net attendance rate, primary, female (%)"
"UIS.NAR.1.Q4","UIS: Net attendance rate, primary, fourth quintile, both sexes (%)"
"UIS.NAR.1.Q4.F","UIS: Net attendance rate, primary, fourth quintile, female (%)"
"UIS.NAR.1.Q4.GPI","UIS: Net attendance rate, primary, fourth quintile, gender parity index (GPI)"
"UIS.NAR.1.Q4.M","UIS: Net attendance rate, primary, fourth quintile, male (%)"
"UIS.NAR.1.GPI","UIS: Net attendance rate, primary, gender parity index (GPI)"
"UIS.NAR.1.M","UIS: Net attendance rate, primary, male (%)"
"UIS.NAR.1.Q3","UIS: Net attendance rate, primary, middle quintile, both sexes (%)"
"UIS.NAR.1.Q3.F","UIS: Net attendance rate, primary, middle quintile, female (%)"
